datetime,traffic
2025-01-01 00:00:00,96
2025-01-01 01:00:00,109
2025-01-01 02:00:00,104
2025-01-01 03:00:00,100
2025-01-01 04:00:00,97
2025-01-01 05:00:00,96
2025-01-01 06:00:00,108
2025-01-01 07:00:00,180
2025-01-01 08:00:00,180
2025-01-01 09:00:00,173
2025-01-01 10:00:00,97
2025-01-01 11:00:00,92
2025-01-01 12:00:00,91
2025-01-01 13:00:00,101
2025-01-01 14:00:00,95
2025-01-01 15:00:00,91
2025-01-01 16:00:00,170
2025-01-01 17:00:00,181
2025-01-01 18:00:00,181
2025-01-01 19:00:00,186
2025-01-01 20:00:00,99
2025-01-01 21:00:00,105
2025-01-01 22:00:00,104
2025-01-01 23:00:00,104
2025-01-02 00:00:00,108
2025-01-02 01:00:00,101
2025-01-02 02:00:00,109
2025-01-02 03:00:00,92
2025-01-02 04:00:00,94
2025-01-02 05:00:00,108
2025-01-02 06:00:00,96
2025-01-02 07:00:00,178
2025-01-02 08:00:00,176
2025-01-02 09:00:00,187
2025-01-02 10:00:00,93
2025-01-02 11:00:00,103
2025-01-02 12:00:00,107
2025-01-02 13:00:00,98
2025-01-02 14:00:00,91
2025-01-02 15:00:00,109
2025-01-02 16:00:00,184
2025-01-02 17:00:00,176
2025-01-02 18:00:00,181
2025-01-02 19:00:00,177
2025-01-02 20:00:00,104
2025-01-02 21:00:00,92
2025-01-02 22:00:00,103
2025-01-02 23:00:00,106
2025-01-03 00:00:00,93
2025-01-03 01:00:00,107
2025-01-03 02:00:00,97
2025-01-03 03:00:00,93
2025-01-03 04:00:00,91
2025-01-03 05:00:00,95
2025-01-03 06:00:00,99
2025-01-03 07:00:00,173
2025-01-03 08:00:00,187
2025-01-03 09:00:00,181
2025-01-03 10:00:00,91
2025-01-03 11:00:00,99
2025-01-03 12:00:00,93
2025-01-03 13:00:00,103
2025-01-03 14:00:00,105
2025-01-03 15:00:00,104
2025-01-03 16:00:00,177
2025-01-03 17:00:00,183
2025-01-03 18:00:00,177
2025-01-03 19:00:00,185
2025-01-03 20:00:00,102
2025-01-03 21:00:00,107
2025-01-03 22:00:00,104
2025-01-03 23:00:00,102
2025-01-04 00:00:00,68
2025-01-04 01:00:00,74
2025-01-04 02:00:00,72
2025-01-04 03:00:00,60
2025-01-04 04:00:00,66
2025-01-04 05:00:00,68
2025-01-04 06:00:00,60
2025-01-04 07:00:00,151
2025-01-04 08:00:00,147
2025-01-04 09:00:00,150
2025-01-04 10:00:00,78
2025-01-04 11:00:00,76
2025-01-04 12:00:00,67
2025-01-04 13:00:00,62
2025-01-04 14:00:00,62
2025-01-04 15:00:00,60
2025-01-04 16:00:00,144
2025-01-04 17:00:00,149
2025-01-04 18:00:00,146
2025-01-04 19:00:00,148
2025-01-04 20:00:00,66
2025-01-04 21:00:00,68
2025-01-04 22:00:00,67
2025-01-04 23:00:00,71
2025-01-05 00:00:00,61
2025-01-05 01:00:00,60
2025-01-05 02:00:00,75
2025-01-05 03:00:00,64
2025-01-05 04:00:00,62
2025-01-05 05:00:00,71
2025-01-05 06:00:00,67
2025-01-05 07:00:00,142
2025-01-05 08:00:00,140
2025-01-05 09:00:00,142
2025-01-05 10:00:00,64
2025-01-05 11:00:00,74
2025-01-05 12:00:00,73
2025-01-05 13:00:00,62
2025-01-05 14:00:00,60
2025-01-05 15:00:00,64
2025-01-05 16:00:00,153
2025-01-05 17:00:00,146
2025-01-05 18:00:00,148
2025-01-05 19:00:00,154
2025-01-05 20:00:00,74
2025-01-05 21:00:00,69
2025-01-05 22:00:00,72
2025-01-05 23:00:00,78
2025-01-06 00:00:00,96
2025-01-06 01:00:00,106
2025-01-06 02:00:00,109
2025-01-06 03:00:00,93
2025-01-06 04:00:00,94
2025-01-06 05:00:00,96
2025-01-06 06:00:00,102
2025-01-06 07:00:00,184
2025-01-06 08:00:00,180
2025-01-06 09:00:00,173
2025-01-06 10:00:00,102
2025-01-06 11:00:00,96
2025-01-06 12:00:00,108
2025-01-06 13:00:00,91
2025-01-06 14:00:00,99
2025-01-06 15:00:00,102
2025-01-06 16:00:00,175
2025-01-06 17:00:00,181
2025-01-06 18:00:00,181
2025-01-06 19:00:00,189
2025-01-06 20:00:00,100
2025-01-06 21:00:00,96
2025-01-06 22:00:00,90
2025-01-06 23:00:00,90
2025-01-07 00:00:00,109
2025-01-07 01:00:00,102
2025-01-07 02:00:00,98
2025-01-07 03:00:00,92
2025-01-07 04:00:00,96
2025-01-07 05:00:00,95
2025-01-07 06:00:00,97
2025-01-07 07:00:00,178
2025-01-07 08:00:00,174
2025-01-07 09:00:00,170
2025-01-07 10:00:00,108
2025-01-07 11:00:00,99
2025-01-07 12:00:00,101
2025-01-07 13:00:00,104
2025-01-07 14:00:00,98
2025-01-07 15:00:00,109
2025-01-07 16:00:00,186
2025-01-07 17:00:00,186
2025-01-07 18:00:00,189
2025-01-07 19:00:00,181
2025-01-07 20:00:00,96
2025-01-07 21:00:00,91
2025-01-07 22:00:00,92
2025-01-07 23:00:00,106
